Salticidae Blackwall,1841;Aelurillus faragallai;Prószyński, 1993; Saudi Arabia, Yemen
Salticidae Blackwall,1841;Aelurillus galinae;Wesołowska & van Harten, 2010; United Arab Emirates
Salticidae Blackwall,1841;Aelurillus gershomi;Prószyński, 2000; Israel
Salticidae Blackwall,1841;Aelurillus guecki;Metzner, 1999; Greece, Turkey
Salticidae Blackwall,1841;Aelurillus helvenacius;Logunov, 1993; Mongolia
Salticidae Blackwall,1841;Aelurillus hirtipes;Denis, 1960; North Africa
Salticidae Blackwall,1841;Aelurillus improvisus;Azarkina, 2002; India
Salticidae Blackwall,1841;Aelurillus jerusalemicus;Prószyński, 2000; Israel
Salticidae Blackwall,1841;Aelurillus khorasanicus;Azarkina & Mirshamsi, 2014; Iran
Salticidae Blackwall,1841;Aelurillus kochi;Roewer, 1951; Greece, Israel, Syria, United Arab Emirates
Salticidae Blackwall,1841;Aelurillus kopetdaghi;Wesołowska, 1996; Turkmenistan
Salticidae Blackwall,1841;Aelurillus kronestedti;Azarkina, 2004; India, Sri Lanka
Salticidae Blackwall,1841;Aelurillus laniger;Logunov & Marusik, 2000; North Macedonia, Kazakhstan
Salticidae Blackwall,1841;Aelurillus latebricola;Spassky, 1941; Tajikistan
Salticidae Blackwall,1841;Aelurillus leipoldae;(Metzner, 1999); Greece (Crete)
Salticidae Blackwall,1841;Aelurillus logunovi;Azarkina, 2004; Afghanistan, Pakistan
Salticidae Blackwall,1841;Aelurillus lopadusae;Cantarella, 1983; Italy, Algeria
Salticidae Blackwall,1841;Aelurillus lucasi;Roewer, 1951; Canary Is., Salvages
Salticidae Blackwall,1841;Aelurillus luctuosus;(Lucas, 1846); Mediterranean to Turkmenistan
Salticidae Blackwall,1841;Aelurillus lutosus;(Tyschchenko, 1965); Russia (Europe, Caucasus), Kazakhstan, Kyrgyzstan
Salticidae Blackwall,1841;Aelurillus m-nigrum;Kulczyński, 1891; South-eastern Europe, Russia (Europe to Central Asia), Caucasus, Iran, Central Asia, China
Salticidae Blackwall,1841;Aelurillus madagascariensis;Azarkina, 2009; Madagascar
Salticidae Blackwall,1841;Aelurillus marusiki;Azarkina, 2002; Iran
Salticidae Blackwall,1841;Aelurillus minimontanus;Azarkina, 2002; India
Salticidae Blackwall,1841;Aelurillus minutus;Azarkina, 2002; Syria, Eritrea
Salticidae Blackwall,1841;Aelurillus mirabilis;Wesołowska, 2006; Namibia
Salticidae Blackwall,1841;Aelurillus monardi;(Lucas, 1846); Mediterranean
Salticidae Blackwall,1841;Aelurillus nabataeus;Prószyński, 2003; Israel
Salticidae Blackwall,1841;Aelurillus nenilini;Azarkina, 2002; Kazakhstan, Turkmenistan, Uzbekistan
Salticidae Blackwall,1841;Aelurillus numidicus;(Lucas, 1846); Algeria
Salticidae Blackwall,1841;Aelurillus plumipes;(Thorell, 1875); Algeria, Tunisia
Salticidae Blackwall,1841;Aelurillus politiventris;(O. Pickard-Cambridge, 1872); Greece to Israel
Salticidae Blackwall,1841;Aelurillus quadrimaculatus;Simon, 1889; India, Sri Lanka
Salticidae Blackwall,1841;Aelurillus rugatus;(Bösenberg & Lenz, 1895); Tanzania
Salticidae Blackwall,1841;Aelurillus russellsmithi;Azarkina, 2009; Ivory Coast
Salticidae Blackwall,1841;Aelurillus schembrii;Cantarella, 1982; Italy (mainland, Sicily), Malta
Salticidae Blackwall,1841;Aelurillus simplex;(Herman, 1879); Hungary
Salticidae Blackwall,1841;Aelurillus spinicrus;(Simon, 1871); Morocco
Salticidae Blackwall,1841;Aelurillus steinmetzi;Metzner, 1999; Greece
Salticidae Blackwall,1841;Aelurillus subaffinis;Caporiacco, 1947; Ethiopia
Salticidae Blackwall,1841;Aelurillus subfestivus;Saito, 1934; Japan
Salticidae Blackwall,1841;Aelurillus thailandicus;Azarkina, 2019; Thailand
Salticidae Blackwall,1841;Aelurillus tumidulus;Wesołowska & Tomasiewicz, 2008; Ethiopia
Salticidae Blackwall,1841;Aelurillus unitibialis;Azarkina, 2002; Iran
Salticidae Blackwall,1841;Aelurillus v-insignitus;(Clerck, 1757); Europe, Turkey, Caucasus, Russia (Europe to Far East), Kazakhstan, Central Asia, China
Salticidae Blackwall,1841;Aelurillus v-insignitus morulus;(Simon, 1937); France
Salticidae Blackwall,1841;Aelurillus v-insignitus obsoletus;Kulczyński, 1891; Czechia, Hungary, Romania
Salticidae Blackwall,1841;Aelurillus westi;Azarkina & Zamani, 2019; Iran
Salticidae Blackwall,1841;Afraflacilla altera;(Wesołowska, 2000); Zimbabwe, South Africa
Salticidae Blackwall,1841;Afraflacilla antineae;(Denis, 1954); Algeria
Salticidae Blackwall,1841;Afraflacilla arabica;Wesołowska & van Harten, 1994; Egypt, Yemen, Iran, Afghanistan
Salticidae Blackwall,1841;Afraflacilla asorotica;(Simon, 1890); Saudi Arabia, Israel, Yemen
Salticidae Blackwall,1841;Afraflacilla ballarini;Cao & Li, 2016; China
Salticidae Blackwall,1841;Afraflacilla bamakoi;Berland & Millot, 1941; Mali
Salticidae Blackwall,1841;Afraflacilla berlandi;Denis, 1955; Libya
Salticidae Blackwall,1841;Afraflacilla bipunctata;(Peckham & Peckham, 1903); South Africa
Salticidae Blackwall,1841;Afraflacilla braunsi;(Peckham & Peckham, 1903); South Africa, Saudi Arabia, Yemen, Turkmenistan
Salticidae Blackwall,1841;Afraflacilla datuntata;(Logunov & Zamanpoore, 2005); Afghanistan
Salticidae Blackwall,1841;Afraflacilla elegans;(Wesołowska & Cumming, 2008); Zimbabwe, South Africa
Salticidae Blackwall,1841;Afraflacilla epiblemoides;(Chyzer, 1891); Central, Eastern Europe
Salticidae Blackwall,1841;Afraflacilla eximia;(Wesołowska & Russell-Smith, 2000); Tanzania
Salticidae Blackwall,1841;Afraflacilla fayda;(Wesołowska & van Harten, 2010); United Arab Emirates
Salticidae Blackwall,1841;Afraflacilla flavipes;(Caporiacco, 1935); Turkmenistan, Pakistan
Salticidae Blackwall,1841;Afraflacilla grayorum;Żabka, 1993; Australia (Western Australia, Queensland)
Salticidae Blackwall,1841;Afraflacilla gunbar;Żabka & Gray, 2002; Australia (New South Wales)
Salticidae Blackwall,1841;Afraflacilla histrionica;(Simon, 1902); South Africa
